FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000250	-2	3	1	-1	-1	0	3	-2	1	1	1	0	0	0	0	0	0	0	1	-2	-1
OG0000251	7	0	1	-1	-2	2	-3	8	-3	0	3	0	0	0	0	0	0	3	4	0	2
OG0000252	-1	5	-1	0	1	-2	5	-3	3	2	0	0	0	0	0	0	0	0	1	-1	1
OG0000253	-1	13	-3	-1	2	-3	-3	0	0	24	-2	0	0	0	-1	0	0	0	5	0	2
OG0000254	0	0	16	8	0	0	-2	29	-7	-1	0	0	0	1	0	1	0	2	-1	-3	5
OG0000255	-3	6	0	-5	1	-3	5	-1	1	11	-4	0	1	0	0	0	0	0	0	-1	3
OG0000261	-3	4	7	0	1	-5	1	-1	1	2	-2	0	1	0	0	0	0	2	0	0	0
OG0000262	0	2	-4	-4	2	-3	4	-4	3	3	3	0	0	0	0	-2	0	0	0	0	-1
OG0000263	13	-6	1	-3	-2	0	-3	-1	0	5	6	0	0	-1	-2	0	0	1	0	-1	0
OG0000266	-2	6	-2	0	0	-1	3	4	-1	10	-3	0	1	0	0	0	0	0	0	-5	3
OG0000267	2	1	-1	-4	1	0	0	3	-1	0	0	0	0	0	1	0	0	1	7	1	2
OG0000268	1	3	-3	4	8	-4	-2	2	-1	-2	-1	0	0	1	1	2	0	0	5	0	5
OG0000269	-2	0	0	-2	-1	1	-1	-1	0	33	1	0	0	-2	-3	0	0	0	0	0	-1
OG0000270	9	-2	-1	2	-3	16	-2	0	2	0	-1	0	0	0	1	2	0	0	2	4	1
OG0000271	3	0	2	0	3	-4	-3	-2	2	1	-3	0	1	0	0	1	0	4	3	0	-1
OG0000275	0	1	0	-3	1	-2	-3	0	-2	4	10	0	0	-1	-1	0	0	0	3	0	-5
OG0000276	8	-1	-2	1	-2	0	0	-1	1	2	4	0	0	0	0	0	0	0	2	-2	-1
OG0000277	1	6	-4	0	0	-4	-4	0	-1	12	0	0	0	0	-1	0	0	0	10	0	0
OG0000278	-1	3	-5	1	2	-1	0	0	-1	6	-3	0	2	0	0	0	0	0	0	1	-2
OG0000279	11	-3	-1	-1	11	-5	-2	0	0	16	-2	0	1	0	0	0	0	0	1	0	-3
OG0000280	5	0	-1	0	3	-5	2	-4	1	5	-4	0	1	0	0	0	0	1	3	0	-1
OG0000281	17	-3	-2	0	-1	1	-4	5	-3	5	1	0	0	0	-2	0	0	0	2	0	1
OG0000285	1	1	-2	1	-2	1	2	1	-1	0	1	0	0	0	0	0	0	0	2	-1	1
OG0000286	-1	11	0	-2	0	0	0	4	-2	-1	0	0	0	1	2	0	0	1	6	0	2
OG0000291	2	0	-1	4	2	-3	-1	-1	1	3	-3	0	1	0	0	0	0	0	3	0	-1
OG0000292	-1	13	0	-3	-3	0	2	1	-1	0	1	0	0	0	0	0	0	3	5	0	0
OG0000293	-2	0	0	2	10	-5	-3	1	-4	1	9	0	0	0	-1	0	0	-1	-2	1	-1
OG0000294	0	0	0	0	0	0	0	0	-1	66	-1	0	0	-1	-2	0	0	0	0	0	-1
OG0000295	-1	0	0	0	3	-2	0	5	-4	15	-4	0	1	0	0	0	0	-1	-1	0	0
OG0000297	-2	6	0	0	0	0	2	-2	2	0	3	0	0	0	0	0	0	0	1	-2	-1
OG0000298	1	0	0	0	0	-1	-1	-1	0	14	-2	0	1	0	0	0	0	0	0	-1	-1
OG0000299	0	6	-2	1	1	0	-4	4	-3	1	0	0	0	0	0	0	0	0	3	1	2
OG0000300	-2	4	-1	0	1	-2	0	-1	1	0	5	0	0	0	0	0	0	0	0	-1	1
OG0000301	31	-4	-3	-2	1	-1	6	0	0	-3	0	0	0	0	1	0	0	0	4	0	-1
OG0000302	2	0	-3	0	3	-2	-3	1	-1	27	-2	0	1	0	0	0	0	0	0	1	2
OG0000303	-1	1	5	2	4	-5	-3	-1	0	1	-1	0	0	0	0	0	0	1	0	0	0
OG0000304	-2	3	9	0	2	-4	-3	5	-4	6	-2	0	0	0	0	0	0	2	0	0	0
OG0000305	-1	3	-2	0	-1	0	-1	5	-2	25	-2	0	1	0	-1	0	0	0	0	-2	2
OG0000310	-1	5	0	0	-2	0	9	-2	0	0	-1	0	0	0	0	0	0	0	2	-3	-1
OG0000311	-4	0	51	-1	4	-1	-1	0	-1	0	0	0	0	0	0	0	0	4	0	0	0
OG0000312	13	0	-2	0	-4	3	-2	0	1	-1	0	0	0	0	0	1	0	1	10	0	0
OG0000318	-1	10	-2	3	2	0	-2	-2	2	1	-1	0	0	0	1	0	0	0	3	1	0
OG0000319	12	-1	-3	7	-1	3	-3	1	-2	2	-2	0	0	0	0	1	0	0	3	1	-1
OG0000320	-1	6	-3	3	-4	1	2	0	0	1	0	0	0	0	1	0	0	0	3	-1	-1
OG0000321	0	6	-1	6	-5	3	-1	0	0	6	-2	0	1	0	1	0	0	0	3	0	-5
OG0000323	-1	4	-1	-1	-1	0	5	1	-1	-1	5	0	0	0	0	0	0	0	2	0	0
OG0000324	-4	0	23	3	-4	3	-3	12	-4	0	-2	0	0	0	0	1	0	1	-1	0	2
OG0000325	0	-3	4	2	-6	5	-6	-3	0	0	17	0	0	0	-1	0	0	0	-2	0	-4
OG0000326	2	0	-3	4	3	-1	-2	-2	4	0	-1	0	0	0	1	1	0	0	3	3	3
OG0000328	1	3	-2	2	3	-1	-1	-1	3	0	-2	0	0	0	0	1	0	0	5	0	1
OG0000329	0	-4	1	1	-4	0	-4	6	-5	9	1	0	0	0	-1	0	0	0	-1	-2	1
OG0000330	0	0	3	3	8	-6	-1	2	-1	0	0	0	0	0	1	1	0	0	-1	0	2
OG0000331	-1	2	-2	-1	1	0	0	2	-1	7	-2	0	1	0	0	0	0	0	1	0	3
OG0000332	0	2	-2	0	1	-2	2	1	-1	4	-1	0	1	0	0	0	0	0	1	-1	-1
OG0000333	0	1	-2	-1	2	-2	2	0	0	0	7	0	0	0	0	-1	0	-1	0	-1	-3
OG0000334	0	4	-3	1	-2	0	1	-2	2	8	-2	0	1	0	0	0	0	0	3	-1	1
OG0000335	-1	3	-3	-2	15	-2	0	4	-3	0	-2	0	0	0	0	0	0	0	1	5	1
OG0000336	1	-2	-2	-1	-2	1	2	-2	7	6	-1	0	0	0	0	-1	0	-1	0	-1	8
OG0000337	0	1	-3	0	-2	4	-1	1	-2	15	-2	0	1	0	0	0	0	0	1	0	0
OG0000342	0	2	-1	0	-1	0	-4	0	0	12	1	0	0	0	-1	0	0	0	4	-4	-1
OG0000343	5	-1	-3	-1	4	-3	-1	-3	2	1	3	0	0	0	-1	0	0	0	1	1	0
OG0000344	-2	0	56	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	3	-1	-1	-1
OG0000348	-2	5	-2	0	1	-3	3	-2	1	1	-1	0	0	0	0	0	0	0	0	0	-1
OG0000349	0	1	0	-1	-1	0	0	2	-2	17	-2	0	0	0	0	0	0	1	3	-1	0
OG0000356	0	3	-1	-1	1	-2	0	-2	1	8	-3	0	1	0	0	0	0	0	3	0	0
OG0000357	0	3	-4	-6	1	-2	1	-2	2	1	2	0	0	0	0	0	0	0	1	0	0
OG0000358	3	0	-2	-2	0	0	1	-1	2	2	1	0	0	0	0	-1	0	0	2	-2	0
OG0000359	10	-1	-2	-1	0	-2	0	5	-3	2	2	0	0	0	-1	0	0	0	2	0	1
OG0000360	0	0	-3	1	0	-1	-1	3	-5	19	-3	0	1	0	0	0	0	0	0	0	0
OG0000361	-1	1	18	-2	0	-1	-1	12	-4	-2	0	0	0	0	0	0	0	6	0	0	2
OG0000362	0	2	-2	0	1	-1	0	-1	2	5	-2	0	1	0	0	0	0	0	2	0	1
OG0000363	-3	20	3	-2	0	-1	-2	2	-2	-2	1	0	0	0	0	0	0	8	3	-1	0
OG0000364	-1	4	-4	-2	-3	1	4	0	1	9	-2	0	0	0	0	0	0	0	1	0	0
OG0000369	0	2	-2	0	0	-1	3	-2	2	5	-1	0	0	0	0	0	0	0	1	-1	1
