Orthogroup	Artha	Cechi	Erjap	Glmax	Lyrho	Metru	Poten	Qumon	Setor	Vivin	Zeins	Total
OG0000359	7	2	3	5	4	16	4	11	2	7	3	64
OG0000360	1	4	0	5	5	5	4	8	2	24	6	64
OG0000361	2	1	0	9	2	7	1	16	26	0	0	64
OG0000362	2	4	8	9	6	7	5	5	3	10	5	64
OG0000363	3	0	0	33	1	10	0	4	13	0	0	64
OG0000364	3	6	6	10	2	5	9	5	1	14	3	64
OG0000365	0	2	0	0	1	7	0	2	8	43	1	64
OG0000366	0	0	64	0	0	0	0	0	0	0	0	64
OG0000367	0	0	0	43	2	14	0	0	0	0	5	64
OG0000368	0	0	0	0	0	0	0	64	0	0	0	64
OG0000369	4	3	8	8	4	6	8	4	3	10	5	63
OG0000370	8	1	5	10	10	8	3	2	3	5	8	63
OG0000371	4	2	4	4	28	2	6	1	1	7	4	63
OG0000372	1	2	2	8	8	12	14	1	4	6	5	63
OG0000373	0	0	1	0	0	0	0	0	62	0	0	63
OG0000374	0	0	0	0	0	1	0	0	59	2	1	63
OG0000375	0	0	0	0	0	0	0	59	4	0	0	63
OG0000376	4	4	5	6	9	6	6	3	5	8	6	62
OG0000377	5	3	4	12	7	4	8	3	3	6	7	62
OG0000378	4	3	3	5	0	5	6	6	2	26	2	62
OG0000379	6	3	4	10	5	6	9	2	5	7	5	62
OG0000380	1	2	2	5	11	3	4	6	4	19	5	62
OG0000381	5	6	4	8	4	8	0	10	3	10	4	62
OG0000382	9	2	6	9	3	6	9	3	4	5	6	62
OG0000383	4	4	5	14	5	11	7	2	3	2	5	62
OG0000384	4	3	6	12	6	4	8	3	5	5	6	62
OG0000385	1	0	1	58	1	1	0	0	0	0	0	62
OG0000386	0	3	0	46	4	2	0	0	0	7	0	62
OG0000387	0	2	5	2	15	3	2	7	10	10	6	62
OG0000388	0	6	5	3	8	13	1	3	8	10	5	62
OG0000389	0	4	1	10	6	12	4	6	12	0	7	62
OG0000390	0	0	62	0	0	0	0	0	0	0	0	62
OG0000391	0	0	1	0	0	0	0	0	61	0	0	62
OG0000392	0	0	0	0	0	0	0	0	0	62	0	62
OG0000393	2	4	3	2	31	9	7	1	0	1	1	61
OG0000394	61	0	0	0	0	0	0	0	0	0	0	61
OG0000395	3	7	2	15	7	11	1	1	2	1	11	61
OG0000396	6	2	4	10	1	6	8	3	5	9	7	61
OG0000397	3	4	8	8	9	3	6	3	5	6	6	61
OG0000398	10	6	5	1	0	18	3	3	3	9	3	61
OG0000399	4	3	5	9	5	6	10	3	4	5	7	61
OG0000400	4	5	2	8	5	4	11	3	6	7	6	61
OG0000401	3	1	1	5	8	5	3	3	3	26	3	61
OG0000402	3	3	8	10	6	4	9	4	4	4	6	61
OG0000403	12	3	6	9	6	5	4	3	4	3	6	61
OG0000404	0	0	2	3	5	9	21	5	5	2	9	61
OG0000405	0	0	0	0	0	0	0	61	0	0	0	61
OG0000406	4	2	3	4	9	9	12	3	1	11	2	60
OG0000407	4	3	6	10	6	5	8	3	5	4	6	60
OG0000408	6	3	5	8	7	6	2	4	1	10	8	60
OG0000409	2	3	6	9	6	4	12	3	5	4	6	60
OG0000410	11	5	6	8	6	3	2	4	6	4	5	60
OG0000411	7	3	6	11	3	5	8	4	5	2	6	60
OG0000412	59	0	0	0	0	0	0	1	0	0	0	60
OG0000413	2	3	4	9	5	10	5	2	5	9	6	60
OG0000414	2	3	4	10	7	3	10	3	5	8	5	60
OG0000415	4	4	4	11	7	5	3	3	3	8	8	60
OG0000416	8	6	6	3	4	6	8	5	4	5	5	60
OG0000417	4	2	9	12	4	5	8	3	3	4	6	60
OG0000418	4	4	9	9	2	3	8	2	3	10	6	60
OG0000419	2	6	6	9	3	19	3	2	2	2	6	60
OG0000420	2	4	10	4	8	2	1	8	1	15	5	60
OG0000421	4	9	4	4	7	6	6	6	3	8	3	60
OG0000422	1	3	6	4	4	12	2	3	3	18	4	60
OG0000423	0	0	60	0	0	0	0	0	0	0	0	60
OG0000424	0	0	57	0	0	0	0	0	0	0	3	60
OG0000425	0	0	1	0	0	0	0	3	0	56	0	60
OG0000426	0	0	0	0	2	56	0	0	0	0	2	60
OG0000427	0	0	0	0	0	1	0	0	59	0	0	60
OG0000428	8	2	4	7	7	5	7	4	2	7	6	59
OG0000429	2	0	9	6	8	6	2	4	3	14	5	59
OG0000430	6	2	5	10	4	5	7	7	3	6	4	59
OG0000431	8	3	5	6	5	3	10	2	5	6	6	59
OG0000432	3	3	7	10	5	5	11	2	4	3	6	59
OG0000433	4	3	5	6	5	6	8	4	4	8	6	59
OG0000434	3	7	3	5	3	8	3	10	6	8	3	59
OG0000435	4	3	3	6	3	14	1	8	1	15	1	59
OG0000436	2	2	2	4	1	9	6	3	24	4	2	59
OG0000437	1	1	0	44	1	1	0	10	0	0	1	59
OG0000438	1	17	0	10	1	14	1	1	9	0	5	59
OG0000439	1	1	1	2	1	47	1	1	1	2	1	59
OG0000440	0	7	3	7	2	6	13	1	1	13	6	59
OG0000441	0	1	0	6	0	46	0	0	0	0	6	59
OG0000442	0	0	0	0	4	13	0	2	2	35	3	59
OG0000443	0	0	0	0	0	0	0	0	59	0	0	59
OG0000444	0	0	0	0	0	0	0	0	0	59	0	59
OG0000445	8	3	3	9	3	5	6	4	4	8	5	58
OG0000446	7	5	7	9	7	6	5	5	1	2	4	58
OG0000447	3	4	4	6	5	7	8	6	2	7	6	58
OG0000448	5	0	2	7	1	8	2	14	3	4	12	58
OG0000449	8	1	6	9	4	5	3	12	1	5	4	58
OG0000450	9	3	6	7	3	5	9	1	4	6	5	58
OG0000451	1	2	5	7	4	6	4	12	1	11	5	58
OG0000452	4	7	7	5	1	5	5	3	5	10	6	58
OG0000453	2	2	8	6	4	3	7	5	2	15	4	58
OG0000454	5	3	6	9	4	4	7	2	4	7	7	58
OG0000455	7	4	5	6	8	4	9	4	3	5	3	58
OG0000456	11	4	4	10	3	4	5	6	3	5	3	58
OG0000457	3	3	6	8	4	5	10	3	4	6	6	58
